Group;Total;AXW (D_0A6FF7A5-3415-4CB4-995F-8F393BC2F2E2);AXW Default Annotations (C_AD61FECA-7D5A-46E6-ABA6-212B7773679F);BAX (D_490B69D4-79CC-4BFD-B932-2389A5BC55DE);BAX Default Annotations (C_8968879C-B2BC-4FEA-B95F-60B5FFC9CBB6);SAX (D_674969D0-4D66-4A65-8D2F-28274AD7C8A4);SAX Default Annotations (C_C0FC58F8-504B-4C64-B741-A61824DA6C66);AXS-normal (D_6D07C059-F8CD-4F7E-B69E-02176068C081);AXS-normal Forschung (C_A1BB5E4F-C4F8-46B6-BA18-EB664C231036);AXV (D_70CAAD92-D160-494F-A2C3-7F4B05302621);AXV Default Annotations (C_49BCF063-3780-47AE-A5D6-1E8DB0DB8F4F);AXU (D_AA0EC5FB-BE03-473C-A0D9-BADAC12B73FC);AXU Default Annotations (C_1C6A20E2-668E-45E7-9E51-C4A9EBA4197E);AXR (D_BA0BE279-69FF-409A-B02A-0889085FDCAD);AXR Default Annotations (C_6E8C8418-604A-494B-B209-377540AF832E)
"rappe ";1;;;;;;;;;;;;;1;1
"rappen ";1;;;;;;;;;;;;;1;1
regen;1;;;;;;;;;;;1;1;;
"regen ";4;;;;;;;2;2;;;;;2;2
rinder;4;;;;;2;2;;;;;2;2;;
roub;4;;;;;;;4;4;;;;;;
"roub ";2;;;;;;;2;2;;;;;;
roubaere;3;;;;;;;;;;;;;3;3
roube;6;;;;;;;1;1;;;1;1;4;4
"roube ";4;;;;;;;;;;;;;4;4
rouben;1;;;;;;;;;;;;;1;1
"roubende ";1;;;;;;;;;;;;;1;1
roubes;1;;;;;;;;;;;;;1;1
"roubes ";2;;;;;;;;;;;;;2;2
roubte;2;;;;;;;;;;;1;1;1;1
roubten;1;;;;;;;;;;;;;1;1
roubêre;5;;;;;;;5;5;;;;;;
"roubêre
";4;;;;;;;4;4;;;;;;
"roubêre ";2;;;;;;;2;2;;;;;;
roup;2;;;;;;;;;;;;;2;2
"roup ";1;;;;;;;;;;;;;1;1
rîche;2;;;;;;;2;2;;;;;;
rôt;2;;;;;;;2;2;;;;;;
scande;2;;;;;;;2;2;;;;;;
"scorpiones ";2;;;;;;;2;2;;;;;;
scorpiônen;1;;;;;;;;;;;1;1;;
sculde;2;;;;;;;2;2;;;;;;
sculdih;2;;;;;;;2;2;;;;;;
slangen;7;;;;;7;7;;;;;;;;
"slangen
";2;;;;;;;2;2;;;;;;
"smâhe ";2;;;;;;;;;2;2;;;;
snê;2;;;;;;;2;2;;;;;;
"stangen
";2;;;;;;;2;2;;;;;;
stein;32;;;;;;;2;2;2;2;25;25;3;3
"stein ";2;;;;;;;;;;;;;2;2
steine;8;;;;;;;;;;;8;8;;
"steine
";1;;;;;;;;;;;;;1;1
steinen;3;;;;;;;;;;;1;1;2;2
"steinen ";1;;;;;;;;;;;;;1;1
stern;1;;;;;1;1;;;;;;;;
"sterne
";8;;;;;;;;;;;;;8;8
sternen;8;;;;;;;;;;;;;8;8
"sternen ";4;;;;;;;;;;;;;4;4
"sterren
";2;;;;;;;2;2;;;;;;
"stimme ";2;;;;;;;2;2;;;;;;
"sunden
";2;;;;;;;2;2;;;;;;
sunn;4;;;;;4;4;;;;;;;;
sunne;14;;;;;;;;;;;14;14;;
"sunne ";6;;;;;;;2;2;4;4;;;;
sunnen;5;;;;;;;;;;;5;5;;
"sunnen ";2;;;;;;;;;;;;;2;2
swan;1;;;;;;;;;;;1;1;;
sweinen;1;;;;;1;1;;;;;;;;
swîn;11;;;;;;;2;2;;;9;9;;
swînen;3;;;;;;;;;;;3;3;;
tier;64;2;2;;;29;29;2;2;;;29;29;2;2
"tier ";4;;;;;;;4;4;;;;;;
tiere;16;;;;;;;;;;;16;16;;
tieren;13;;;;;;;4;4;;;9;9;;
"tieren
";2;;;;;;;2;2;;;;;;
"tieren ";2;;;;;;;2;2;;;;;;
tiern;3;;;;;3;3;;;;;;;;
tiers;1;;;;;1;1;;;;;;;;
tir;2;;;;;2;2;;;;;;;;
tiuvel;1;;;;;;;;;;;1;1;;
tiuvelische;1;;;;;;;;;;;1;1;;
"tobende ";2;;;;;;;2;2;;;;;;
trachen;7;;;;;;;4;4;;;3;3;;
trakchen;3;;;;;3;3;;;;;;;;
tumbe;1;;;;;;;;;;;;;1;1
"tumbe
";2;;;;;;;2;2;;;;;;
tumben;1;;;;;;;;;;;;;1;1
"tumben ";3;;;;;;;2;2;;;;;1;1
tumber;1;;;;;;;;;;;;;1;1
"tumber
";2;;;;;;;2;2;;;;;;
"tumber ";5;;;;;;;2;2;;;;;3;3
"tumbez ";1;;;;;;;;;;;;;1;1
tummen;1;;;;;;;;;;;1;1;;
"tump ";2;;;;;;;;;;;;;2;2
tumpheit;5;;;;;;;2;2;;;2;2;1;1
"tumpheit ";5;;;;;;;2;2;;;;;3;3
"tumplîche ";2;;;;;;;2;2;;;;;;
tyer;20;20;20;;;;;;;;;;;;
tôrheit;3;;;;;;;;;;;;;3;3
"tôrheit ";1;;;;;;;;;;;;;1;1
"tôt ";2;;;;;;;2;2;;;;;;
törlich;2;2;2;;;;;;;;;;;;
"tûbele ";2;;;;;;;2;2;;;;;;
"tûben ";2;;;;;;;2;2;;;;;;
"tûbiles ";2;;;;;;;2;2;;;;;;
"ubelen ";6;;;;;;;;;6;6;;;;
"ubelis ";2;;;;;;;2;2;;;;;;
ubermûtecheit;2;;;;;;;;;2;2;;;;
"ubermûten ";2;;;;;;;;;2;2;;;;
ubermüt;3;3;3;;;;;;;;;;;;
"ubil ";2;;;;;;;2;2;;;;;;
"ubile ";4;;;;;;;4;4;;;;;;
"ummâzen ";2;;;;;;;2;2;;;;;;
ummâzlîch;2;;;;;;;;;2;2;;;;
"ummâzlîchen ";2;;;;;;;2;2;;;;;;
"unedel ";1;;;;;;;;;;;;;1;1
ungehewer;2;2;2;;;;;;;;;;;;
ungehewr;6;2;2;;;4;4;;;;;;;;
"ungehewre ";1;;;;;1;1;;;;;;;;
ungehewres;1;;;;;1;1;;;;;;;;
ungehewrlich;1;;;;;1;1;;;;;;;;
ungehewrn;2;;;;;2;2;;;;;;;;
ungehewrre;1;;;;;1;1;;;;;;;;
ungeheür;2;2;2;;;;;;;;;;;;
ungehiur;1;;;;;;;;;;;1;1;;
ungehiure;5;;;;;;;;;;;5;5;;
ungehiuren;2;;;;;;;;;;;2;2;;
