Group;Total;AXW (D_0A6FF7A5-3415-4CB4-995F-8F393BC2F2E2);AXW Default Annotations (C_AD61FECA-7D5A-46E6-ABA6-212B7773679F);BAX (D_490B69D4-79CC-4BFD-B932-2389A5BC55DE);BAX Default Annotations (C_8968879C-B2BC-4FEA-B95F-60B5FFC9CBB6);SAX (D_674969D0-4D66-4A65-8D2F-28274AD7C8A4);SAX Default Annotations (C_C0FC58F8-504B-4C64-B741-A61824DA6C66);AXS-normal (D_6D07C059-F8CD-4F7E-B69E-02176068C081);AXS-normal Forschung (C_A1BB5E4F-C4F8-46B6-BA18-EB664C231036);AXV (D_70CAAD92-D160-494F-A2C3-7F4B05302621);AXV Default Annotations (C_49BCF063-3780-47AE-A5D6-1E8DB0DB8F4F);AXU (D_AA0EC5FB-BE03-473C-A0D9-BADAC12B73FC);AXU Default Annotations (C_1C6A20E2-668E-45E7-9E51-C4A9EBA4197E);AXR (D_BA0BE279-69FF-409A-B02A-0889085FDCAD);AXR Default Annotations (C_6E8C8418-604A-494B-B209-377540AF832E)
"vogelîn
";1;;;;;;;;;;;;;1;1
"vogelîn ";1;;;;;;;;;;;;;1;1
vogl;1;;;;;1;1;;;;;;;;
voglein;1;;;;;1;1;;;;;;;;
"vorderist ";1;;;;;;;1;1;;;;;;
vrayslich;1;;;;;1;1;;;;;;;;
vreisam;1;;;;;;;;;;;1;1;;
vreislîchen;2;;;;;;;;;;;2;2;;
vrevel;1;;;;;;;;;;;;;1;1
vrevellich;1;;;;;;;;;;;;;1;1
vrevellîche;6;;;;;;;;;;;;;6;6
vrevellîcher;5;;;;;;;;;;;;;5;5
vruht;1;;;;;;;;;;;;;1;1
wald;9;8;8;;;1;1;;;;;;;;
walde;20;;;;;;;1;1;;;14;14;5;5
"walde
";1;;;;;;;;;;;;;1;1
"walde ";3;;;;;;;1;1;;;;;2;2
waldes;1;;;;;;;;;;;1;1;;
walt;41;2;2;;;1;1;2;2;;;25;25;11;11
"walt
";2;;;;;;;2;2;;;;;;
"walt ";4;;;;;;;4;4;;;;;;
wazzer;9;;;;;;;;;;;8;8;1;1
"wazzer ";1;;;;;;;1;1;;;;;;
weder;1;;;;;;;;;;;1;1;;
"weders ";1;;;;;;;;;;;;;1;1
wild;11;6;6;;;3;3;;;;;;;2;2
wilde;35;;;;;2;2;;;;;18;18;15;15
"wilde ";5;;;1;1;;;1;1;;;;;3;3
wilden;20;6;6;;;2;2;;;;;1;1;11;11
"wilden ";6;;;;;;;1;1;;;;;5;5
wilder;2;2;2;;;;;;;;;;;;
wildes;1;;;;;1;1;;;;;;;;
"wildes ";1;;;;;;;;;;;;;1;1
wildez;3;;;;;;;;;;;;;3;3
"wildez ";2;;;;;;;;;;;;;2;2
wildiu;2;;;;;;;;;;;;;2;2
"wildiu ";1;;;;;;;;;1;1;;;;
wildt;1;;;;;1;1;;;;;;;;
willde;1;;;;;1;1;;;;;;;;
willden;3;;;;;3;3;;;;;;;;
willdes;1;;;;;1;1;;;;;;;;
wind;4;4;4;;;;;;;;;;;;
winde;2;;;;;;;;;;;2;2;;
"winde
";1;;;;;;;1;1;;;;;;
"winter ";1;;;;;;;;;;;;;1;1
"winters ";1;;;;;;;;;;;;;1;1
"wisen ";1;;;;;;;1;1;;;;;;
"woninge ";1;;;;;;;1;1;;;;;;
"wunder ";1;;;;;;;1;1;;;;;;
"wunderlîchen ";2;;;;;;;2;2;;;;;;
wurm;3;;;;;;;;;;;2;2;1;1
"wurm
";1;;;;;;;;;;;;;1;1
wurme;1;;;;;;;;;;;1;1;;
wurzelîn;1;;;1;1;;;;;;;;;;
"wâch ";1;;;;;;;1;1;;;;;;
"wîn ";2;;;;;;;2;2;;;;;;
"wûterîch
";1;;;;;;;1;1;;;;;;
würm;7;7;7;;;;;;;;;;;;
würme;6;;;;;;;;;;;6;6;;
"würmel ";2;;;;;;;;;;;;;2;2
würmelîn;1;;;;;;;;;;;;;1;1
würmen;2;;;;;;;;;;;2;2;;
"würmer ";1;;;;;;;;;;;;;1;1
würmlein;2;2;2;;;;;;;;;;;;
zagelîche;1;;;;;;;1;1;;;;;;
zauber;2;2;2;;;;;;;;;;;;
zauberey;1;1;1;;;;;;;;;;;;
zauberlicher;1;1;1;;;;;;;;;;;;
"zigenbeine
";1;;;;;;;1;1;;;;;;
zouber;4;;;1;1;;;;;;;3;3;;
"zouber ";5;;;2;2;;;;;;;;;3;3
zouberaere;1;;;;;;;;;;;;;1;1
"zouberaere
";1;;;;;;;;;;;;;1;1
"zouberaere ";1;;;;;;;;;;;;;1;1
"zouberbuoch ";1;;;;;;;;;;;;;1;1
zouberlisten;1;;;;;;;;;;;1;1;;
"zouberlisten ";1;;;;;;;;;;;;;1;1
zouberlîchen;1;;;;;;;;;;;1;1;;
"zouberlîchen ";3;;;;;;;;;;;;;3;3
"zouberlîcher ";2;;;;;;;;;;;;;2;2
"zouberlîchiu ";1;;;;;;;;;;;;;1;1
zoubers;1;;;;;;;;;;;1;1;;
"zoubersite
";1;;;;;;;;;;;;;1;1
"zungen
";1;;;;;;;1;1;;;;;;
übel;40;;;;;;;;;;;31;31;9;9
"übel ";2;;;;;;;;;;;;;2;2
"übele ";1;;;;;;;;;;;;;1;1
"übels ";1;;;;;;;;;;;;;1;1
übermuot;7;;;;;;;;;;;5;5;2;2
"übermuot ";1;;;;;;;;;;;;;1;1
übermuote;1;;;;;;;;;;;1;1;;
